  XNORS2X12
    area: 8.11
    A    <-  (0.005849)
    B    <-  (0.005254)
    Z    ->  (0.21) (!A*!B+A*B)	--- XNOR2
      cell_fall
            input_net_transition total_output_net_capacitance time
            0.28 0.0014 0.24123
            0.28 0.02 0.264297
            0.28 0.039 0.283833
            0.28 0.079 0.354244
            0.28 0.16 0.517363
            0.28 0.32 0.82599
            0.56 0.0014 0.357819
            0.56 0.02 0.38379
            0.56 0.039 0.404558
            0.56 0.079 0.494285
            0.56 0.16 0.675499
            0.56 0.32 0.998734
      fall_transition
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.027376
            0.005 0.02 0.068188
            0.005 0.039 0.1095
            0.005 0.079 0.19604
            0.005 0.16 0.37108
            0.005 0.32 0.71634
            0.035 0.0014 0.030314
            0.035 0.02 0.06957
            0.035 0.039 0.11012
            0.035 0.079 0.19619
            0.035 0.16 0.37113
            0.035 0.32 0.71655
            0.07 0.0014 0.036022
            0.07 0.02 0.074764
            0.07 0.039 0.11387
            0.07 0.079 0.19798
            0.07 0.16 0.37149
            0.07 0.32 0.71671
            0.14 0.0014 0.047606
            0.14 0.02 0.087809
            0.14 0.039 0.12631
            0.14 0.079 0.20717
            0.14 0.16 0.37586
            0.14 0.32 0.71759
            0.28 0.0014 0.069781
            0.28 0.02 0.11399
            0.28 0.039 0.15375
            0.28 0.079 0.23395
            0.28 0.16 0.39609
            0.28 0.32 0.72729
            0.56 0.0014 0.10956
            0.56 0.02 0.16381
            0.56 0.039 0.20706
            0.56 0.079 0.29043
            0.56 0.16 0.45152
            0.56 0.32 0.76972
      rise_transition
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.030285
            0.005 0.02 0.086882
            0.005 0.039 0.14449
            0.005 0.079 0.26566
            0.005 0.16 0.51116
            0.005 0.32 0.99601
            0.035 0.0014 0.031945
            0.035 0.02 0.087487
            0.035 0.039 0.14485
            0.035 0.079 0.26584
            0.035 0.16 0.51119
            0.035 0.32 0.99626
            0.07 0.0014 0.035354
            0.07 0.02 0.090177
            0.07 0.039 0.1464
            0.07 0.079 0.2662
            0.07 0.16 0.5112
            0.07 0.32 0.99645
            0.14 0.0014 0.042746
            0.14 0.02 0.097652
            0.14 0.039 0.15284
            0.14 0.079 0.27033
            0.14 0.16 0.51264
            0.14 0.32 0.99646
            0.28 0.0014 0.058883
            0.28 0.02 0.11463
            0.28 0.039 0.16942
            0.28 0.079 0.28451
            0.28 0.16 0.52131
            0.28 0.32 0.99959
            0.56 0.0014 0.092994
            0.56 0.02 0.15133
            0.56 0.039 0.20604
            0.56 0.079 0.31982
            0.56 0.16 0.5512
            0.56 0.32 1.018
