  HA1X18
    area: 8.74
    A0    <-  (0.004306)
    B0    <-  (0.004083)
    CO    ->  (0.32) (A0*B0)
      cell_fall positive_unate
            input_net_transition total_output_net_capacitance time
            0.28 0.039 0.369402
            0.28 0.079 0.42537
            0.28 0.16 0.539242
            0.28 0.32 0.76472
            0.56 0.0014 0.438515
            0.56 0.02 0.464519
            0.56 0.039 0.490413
            0.56 0.079 0.54582
            0.56 0.16 0.659373
            0.56 0.32 0.884609
      fall_transition
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.02407
            0.005 0.02 0.055204
            0.005 0.039 0.085896
            0.005 0.079 0.15282
            0.005 0.16 0.29285
            0.005 0.32 0.57265
            0.035 0.0014 0.024136
            0.035 0.02 0.055263
            0.035 0.039 0.085906
            0.035 0.079 0.15287
            0.035 0.16 0.29286
            0.035 0.32 0.57266
            0.07 0.0014 0.024555
            0.07 0.02 0.055494
            0.07 0.039 0.086139
            0.07 0.079 0.15297
            0.07 0.16 0.29287
            0.07 0.32 0.57269
            0.14 0.0014 0.026003
            0.14 0.02 0.056671
            0.14 0.039 0.086929
            0.14 0.079 0.15349
            0.14 0.16 0.29306
            0.14 0.32 0.57279
            0.28 0.0014 0.029081
            0.28 0.02 0.059208
            0.28 0.039 0.089052
            0.28 0.079 0.15471
            0.28 0.16 0.29365
            0.28 0.32 0.57295
            0.56 0.0014 0.036037
            0.56 0.02 0.064899
            0.56 0.039 0.09347
            0.56 0.079 0.15759
            0.56 0.16 0.29503
            0.56 0.32 0.57374
      rise_transition
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.022025
            0.005 0.02 0.062255
            0.005 0.039 0.10476
            0.005 0.079 0.19686
            0.005 0.16 0.38615
            0.005 0.32 0.76143
            0.035 0.0014 0.02217
            0.035 0.02 0.062371
            0.035 0.039 0.10477
            0.035 0.079 0.19691
            0.035 0.16 0.38616
            0.035 0.32 0.76144
            0.07 0.0014 0.022975
            0.07 0.02 0.062722
            0.07 0.039 0.10488
            0.07 0.079 0.19697
            0.07 0.16 0.38638
            0.07 0.32 0.76145
            0.14 0.0014 0.025264
            0.14 0.02 0.063752
            0.14 0.039 0.10563
            0.14 0.079 0.19742
            0.14 0.16 0.38655
            0.14 0.32 0.76146
            0.28 0.0014 0.030127
            0.28 0.02 0.066617
            0.28 0.039 0.10716
            0.28 0.079 0.19819
            0.28 0.16 0.3867
            0.28 0.32 0.76171
            0.56 0.0014 0.039401
            0.56 0.02 0.073495
            0.56 0.039 0.11132
            0.56 0.079 0.19992
            0.56 0.16 0.38745
            0.56 0.32 0.76216
