XNORS2X12
    area: 8.11
    A    <-  (0.005849)
    B    <-  (0.005254)
    Z    ->  (0.21) (!A*!B+A*B)  --- XNOR2
      cell_fall  (A)
            input_net_transition total_output_net_capacitance time
            0.005 0.61 0.551562
            0.035 0.0014 0.128337
            0.035 0.019 0.150645
            0.035 0.038 0.167816
            0.035 0.077 0.198176
            0.035 0.15 0.250943
            0.035 0.31 0.363935
            0.035 0.61 0.574343
            0.07 0.0014 0.152966
            0.07 0.019 0.175395
            0.07 0.038 0.19261
            0.07 0.077 0.223003
            0.07 0.15 0.275792
            0.07 0.31 0.388806
            0.07 0.61 0.599335
            0.14 0.0014 0.197417
            0.14 0.019 0.220396
            0.14 0.038 0.23782
            0.14 0.077 0.2684
            0.14 0.15 0.321277
            0.14 0.31 0.434291
            0.14 0.61 0.644864
            0.28 0.0014 0.275077
            0.28 0.019 0.299409
            0.28 0.038 0.317449
            0.28 0.077 0.348535
            0.28 0.15 0.401643
            0.28 0.31 0.514745
            0.28 0.61 0.725109
            0.56 0.0014 0.407242
            0.56 0.019 0.434577
            0.56 0.038 0.454014
            0.56 0.077 0.486299
            0.56 0.15 0.539946
            0.56 0.31 0.653136
            0.56 0.61 0.863566
      fall_transition positive_unate (A)
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.032771
            0.005 0.019 0.049502
            0.005 0.038 0.065031
            0.005 0.077 0.095867
            0.005 0.15 0.15407
            0.005 0.31 0.28637
            0.005 0.61 0.54085
            0.035 0.0014 0.032781
            0.035 0.019 0.049521
            0.035 0.038 0.065059
            0.035 0.077 0.095893
            0.035 0.15 0.1541
            0.035 0.31 0.28638
            0.035 0.61 0.54086
            0.07 0.0014 0.032927
            0.07 0.019 0.049559
            0.07 0.038 0.065169
            0.07 0.077 0.095958
            0.07 0.15 0.15411
            0.07 0.31 0.28639
            0.07 0.61 0.54087
            0.14 0.0014 0.033555
            0.14 0.019 0.050244
            0.14 0.038 0.065745
            0.14 0.077 0.096443
            0.14 0.15 0.15448
            0.14 0.31 0.28649
            0.14 0.61 0.54088
            0.28 0.0014 0.035339
            0.28 0.019 0.052032
            0.28 0.038 0.067508
            0.28 0.077 0.097996
            0.28 0.15 0.15569
            0.28 0.31 0.28725
            0.28 0.61 0.54121
            0.56 0.0014 0.039489
            0.56 0.019 0.05623
            0.56 0.038 0.071509
            0.56 0.077 0.10155
            0.56 0.15 0.15846
            0.56 0.31 0.28888
            0.56 0.61 0.54214
      rise_transition positive_unate (A)
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.023808
            0.005 0.019 0.042827
            0.005 0.038 0.062933
            0.005 0.077 0.10565
            0.005 0.15 0.18849
            0.005 0.31 0.37324
            0.005 0.61 0.72058
            0.035 0.0014 0.023826
            0.035 0.019 0.042837
            0.035 0.038 0.062943
            0.035 0.077 0.10566
            0.035 0.15 0.18851
            0.035 0.31 0.37325
