  XORS2X12
    area: 7.49
    A    <-  (0.005574)
    B    <-  (0.005749)
    Z    ->  (0.21) (!A*B+A*!B)	--- XOR2
      cell_fall
            input_net_transition total_output_net_capacitance time
            0.28 0.0014 0.238073
            0.28 0.019 0.273328
            0.28 0.037 0.30767
            0.28 0.074 0.377784
            0.28 0.15 0.521686
            0.28 0.3 0.805805
            0.56 0.0014 0.354552
            0.56 0.019 0.392029
            0.56 0.037 0.426734
            0.56 0.074 0.49709
            0.56 0.15 0.679613
            0.56 0.3 0.992464
      fall_transition
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.028896
            0.005 0.019 0.058465
            0.005 0.037 0.097365
            0.005 0.074 0.17714
            0.005 0.15 0.34108
            0.005 0.3 0.66447
            0.035 0.0014 0.029031
            0.035 0.019 0.05954
            0.035 0.037 0.0979
            0.035 0.074 0.17732
            0.035 0.15 0.34132
            0.035 0.3 0.665
            0.07 0.0014 0.029411
            0.07 0.019 0.063133
            0.07 0.037 0.10066
            0.07 0.074 0.1787
            0.07 0.15 0.34158
            0.07 0.3 0.66504
            0.14 0.0014 0.034673
            0.14 0.019 0.072231
            0.14 0.037 0.10911
            0.14 0.074 0.18526
            0.14 0.15 0.34476
            0.14 0.3 0.66573
            0.28 0.0014 0.052515
            0.28 0.019 0.091456
            0.28 0.037 0.12858
            0.28 0.074 0.20369
            0.28 0.15 0.35881
            0.28 0.3 0.67273
            0.56 0.0014 0.088823
            0.56 0.019 0.13157
            0.56 0.037 0.16917
            0.56 0.074 0.24453
            0.56 0.15 0.39728
            0.56 0.3 0.70225
      rise_transition
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.036262
            0.005 0.019 0.090589
            0.005 0.037 0.14544
            0.005 0.074 0.25808
            0.005 0.15 0.48882
            0.005 0.3 0.94445
            0.035 0.0014 0.038527
            0.035 0.019 0.091469
            0.035 0.037 0.14586
            0.035 0.074 0.25814
            0.035 0.15 0.48902
            0.035 0.3 0.94496
            0.07 0.0014 0.043936
            0.07 0.019 0.095677
            0.07 0.037 0.14862
            0.07 0.074 0.25926
            0.07 0.15 0.48934
            0.07 0.3 0.94502
            0.14 0.0014 0.054998
            0.14 0.019 0.10758
            0.14 0.037 0.1592
            0.14 0.074 0.26615
            0.14 0.15 0.49156
            0.14 0.3 0.94538
            0.28 0.0014 0.07639
            0.28 0.019 0.13253
            0.28 0.037 0.18473
            0.28 0.074 0.28957
            0.28 0.15 0.50712
            0.28 0.3 0.95085
            0.56 0.0014 0.11469
            0.56 0.019 0.17994
            0.56 0.037 0.23522
            0.56 0.074 0.34227
            0.56 0.15 0.55579
            0.56 0.3 0.98387
  XORS2X23
    area: 15
    A    <-  (0.01172)
    B    <-  (0.010363)
    Z    ->  (0.4) (!A*B+A*!B)	--- XOR2
      cell_fall
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.104619
            0.005 0.025 0.123211
            0.005 0.05 0.140217
            0.005 0.1 0.172106
            0.005 0.2 0.234135
            0.005 0.4 0.434049
