  OR2X18
    area: 4.37
    A    <-  (0.002379)
    B    <-  (0.00229)
    Z    ->  (0.32) (A+B)	--- OR2
      cell_fall positive_unate
            input_net_transition total_output_net_capacitance time
            0.14 0.47 0.591987
            0.28 0.0014 0.210386
            0.28 0.03 0.247973
            0.28 0.059 0.276353
            0.28 0.12 0.334312
            0.28 0.24 0.447502
            0.28 0.47 0.664059
            0.56 0.0014 0.323246
            0.56 0.03 0.368181
            0.56 0.059 0.397716
            0.56 0.12 0.455631
            0.56 0.24 0.568711
            0.56 0.47 0.785147
      fall_transition positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.022568
            0.005 0.03 0.054166
            0.005 0.059 0.085642
            0.005 0.12 0.15421
            0.005 0.24 0.29253
            0.005 0.47 0.55996
            0.035 0.0014 0.022662
            0.035 0.03 0.054246
            0.035 0.059 0.085707
            0.035 0.12 0.15422
            0.035 0.24 0.29257
            0.035 0.47 0.56005
            0.07 0.0014 0.023187
            0.07 0.03 0.054571
            0.07 0.059 0.085946
            0.07 0.12 0.15428
            0.07 0.24 0.29258
            0.07 0.47 0.56006
            0.14 0.0014 0.024704
            0.14 0.03 0.055779
            0.14 0.059 0.086843
            0.14 0.12 0.15485
            0.14 0.24 0.2928
            0.14 0.47 0.56011
            0.28 0.0014 0.02796
            0.28 0.03 0.058367
            0.28 0.059 0.088879
            0.28 0.12 0.15614
            0.28 0.24 0.29348
            0.28 0.47 0.56044
            0.56 0.0014 0.035429
            0.56 0.03 0.064184
            0.56 0.059 0.093302
            0.56 0.12 0.15883
            0.56 0.24 0.2949
            0.56 0.47 0.56124
      rise_transition positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.015766
            0.005 0.03 0.058006
            0.005 0.059 0.10276
            0.005 0.12 0.19778
            0.005 0.24 0.38533
            0.005 0.47 0.74478
            0.035 0.0014 0.016151
            0.035 0.03 0.05807
            0.035 0.059 0.1028
            0.035 0.12 0.19788
            0.035 0.24 0.38534
            0.035 0.47 0.74479
            0.07 0.0014 0.017359
            0.07 0.03 0.058365
            0.07 0.059 0.1029
            0.07 0.12 0.19789
            0.07 0.24 0.38535
            0.07 0.47 0.74482
            0.14 0.0014 0.020012
            0.14 0.03 0.059507
            0.14 0.059 0.10339
            0.14 0.12 0.19814
            0.14 0.24 0.38536
            0.14 0.47 0.74483
            0.28 0.0014 0.025166
            0.28 0.03 0.062015
            0.28 0.059 0.10477
            0.28 0.12 0.19858
            0.28 0.24 0.38552
            0.28 0.47 0.74484
            0.56 0.0014 0.0349
            0.56 0.03 0.068671
            0.56 0.059 0.10836
            0.56 0.12 0.20016
            0.56 0.24 0.3864
            0.56 0.47 0.74508  OR2X35
    area: 7.49
    A    <-  (0.004656)
    B    <-  (0.004423)
    Z    ->  (0.61) (A+B)	--- OR2
      cell_fall positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.0881617
            0.005 0.019 0.106987
            0.005 0.038 0.121033
            0.005 0.077 0.145002
            0.005 0.15 0.18524
            0.005 0.31 0.270039
            0.005 0.61 0.428307
            0.035 0.0014 0.10887
            0.035 0.019 0.127699
            0.035 0.038 0.141757
            0.035 0.077 0.165737
            0.035 0.15 0.206008
            0.035 0.31 0.29084
            0.035 0.61 0.449108
            0.07 0.0014 0.130273
            0.07 0.019 0.149314
            0.07 0.038 0.163482
            0.07 0.077 0.187583
            0.07 0.15 0.227909
            0.07 0.31 0.312785
            0.07 0.61 0.470877
            0.14 0.0014 0.16797
            0.14 0.019 0.187704
            0.14 0.038 0.202202
            0.14 0.077 0.226644
            0.14 0.15 0.267234
            0.14 0.31 0.35222
            0.14 0.61 0.510037
            0.28 0.0014 0.232584
            0.28 0.019 0.253836
            0.28 0.038 0.269049
            0.28 0.077 0.29425
            0.28 0.15 0.335368
            0.28 0.31 0.420618
            0.28 0.61 0.578523
            0.56 0.0014 0.34001
            0.56 0.019 0.364683
            0.56 0.038 0.38148
            0.56 0.077 0.408221
            0.56 0.15 0.450373
            0.56 0.31 0.53603
            0.56 0.61 0.694045
      cell_rise positive_unate
            input_net_transition total_output_net_capacitance time
            0.005 0.0014 0.0515042
            0.005 0.019 0.0680559
            0.005 0.038 0.0824604
            0.005 0.077 0.110429
            0.005 0.15 0.161953
            0.005 0.31 0.274263
            0.005 0.61 0.484495
            0.035 0.0014 0.0751531
            0.035 0.019 0.0917961
            0.035 0.038 0.106238
            0.035 0.077 0.134266
            0.035 0.15 0.185834
            0.035 0.31 0.298155
            0.035 0.61 0.508343
            0.07 0.0014 0.0992574
            0.07 0.019 0.116435
            0.07 0.038 0.130988
            0.07 0.077 0.159071
            0.07 0.15 0.210628
            0.07 0.31 0.322993
            0.07 0.61 0.533247
            0.14 0.0014 0.14025
            0.14 0.019 0.158763
            0.14 0.038 0.173635
            0.14 0.077 0.201817
            0.14 0.15 0.253396
            0.14 0.31 0.365673
